date,area_rank,police_station,time_window_IST,deployed_units,intervention_done,vehicles_warned,vehicles_towed,violations_recorded_during_patrol,repeat_violation_check_after_7_days,field_notes
2026-06-23,1,Shivajinagar,10:00-10:59,4,,,,,,
2026-06-23,2,Upparpet,09:00-09:59,4,,,,,,
2026-06-23,3,City Market,00:00-00:59,3,,,,,,
2026-06-23,4,Kodigehalli,11:00-11:59,3,,,,,,
2026-06-23,5,HAL Old Airport,04:00-04:59,3,,,,,,
2026-06-23,6,Malleshwaram,08:00-08:59,2,,,,,,
2026-06-23,7,Vijayanagara,04:00-04:59,2,,,,,,
2026-06-23,11,Malleshwaram,10:00-10:59,2,,,,,,
2026-06-23,12,Malleshwaram,09:00-09:59,2,,,,,,
2026-06-23,14,Vijayanagara,11:00-11:59,2,,,,,,
2026-06-23,18,City Market,11:00-11:59,1,,,,,,
2026-06-23,19,Shivajinagar,05:00-05:59,1,,,,,,
2026-06-23,22,HAL Old Airport,08:00-08:59,1,,,,,,
2026-06-23,23,Malleshwaram,09:00-09:59,1,,,,,,
2026-06-23,28,Malleshwaram,10:00-10:59,1,,,,,,
2026-06-23,30,HAL Old Airport,03:00-03:59,1,,,,,,
2026-06-23,31,Vijayanagara,05:00-05:59,1,,,,,,
2026-06-23,33,Shivajinagar,10:00-10:59,1,,,,,,
2026-06-23,37,Vijayanagara,10:00-10:59,1,,,,,,
2026-06-23,40,Vijayanagara,02:00-02:59,1,,,,,,
2026-06-23,8,K.R. Pura,00:00-00:59,2,,,,,,
2026-06-23,9,Chikkajala,01:00-01:59,2,,,,,,
2026-06-23,10,Hebbala,03:00-03:59,2,,,,,,
2026-06-23,13,Magadi Road,12:00-12:59,2,,,,,,
2026-06-23,15,Chamarajpet,07:00-07:59,1,,,,,,
